,name_id,gsis_id,display_name,football_name,first_name,last_name,short_name,status,dob,college,height,weight,entry_year,rookie_year,draft_number,draft_round,draft_team,headshot_url
0,A.J. Feeley,00-0020305,A.J. Feeley,,A.J.,Feeley,,RET,1977-05-16,,75.0,216.0,2001.0,2001.0,155.0,,,
1,AJ McCarron,00-0031288,AJ McCarron,AJ,Raymond,McCarron,A.McCarron,ACT,1990-09-13,Alabama,75.0,220.0,2014.0,2014.0,164.0,5.0,CIN,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fvakqnmsg35llkcme11h"
2,Aaron Brooks,00-0001823,Aaron Brooks,,Aaron,Brooks,,RET,1976-03-24,,76.0,220.0,1999.0,1999.0,131.0,,,
3,Aaron Corp,00-0028893,Aaron Corp,,Aaron,Corp,,RET,,,76.0,195.0,,,,,,
4,Aaron Murray,00-0031287,Aaron Murray,,Aaron,Murray,,RET,1990-11-10,,73.0,207.0,,,,,,
5,Aaron Rodgers,00-0023459,Aaron Rodgers,Aaron,Aaron,Rodgers,A.Rodgers,ACT,1983-12-02,California,74.0,225.0,2005.0,2005.0,24.0,1.0,GB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdcb4nomlc4rd6k5l6to"
6,Adam DiMichele,00-0026895,Adam DiMichele,,Adam,DiMichele,,RET,,,73.0,202.0,,,,,,
7,Adam Froman,00-0028310,Adam Froman,,Adam,Froman,,RET,,,76.0,220.0,,,,,,
8,Adam Weber,00-0028230,Adam Weber,,Adam,Weber,,RET,,,75.0,210.0,,,,,,
9,Adrian Breen,,,,,,,,,,,,,,,,,
10,Adrian Burk,,,,,,,,,,,,,,,,,
11,Adrian Martinez,00-0038658,Adrian Martinez,Adrian,Adrian,Martinez,A.Martinez,ACT,2000-01-07,Kansas State,74.0,225.0,2023.0,2023.0,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s1yf7b4qpe7pyvwq9ye0"
12,Adrian McPherson,00-0023585,Adrian McPherson,,Adrian,McPherson,,RET,1983-05-08,,75.0,218.0,,,,,,
13,Aidan O'Connell,00-0038579,Aidan O'Connell,Aidan,Aidan,O'Connell,A.O'Connell,ACT,1998-09-01,Purdue,75.0,210.0,2023.0,2023.0,135.0,4.0,LV,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/aphs7sdbtn8v4zo9pz6w"
14,Akili Smith,00-0015082,Akili Smith,,Akili,Smith,,RET,1975-08-21,,75.0,220.0,1999.0,1999.0,3.0,,,
15,Al Dorow,,,,,,,,,,,,,,,,,
16,Al Woodall,,,,,,,,,,,,,,,,,
17,Alan Pastrana,,,,,,,,,,,,,,,,,
18,Alan Risher,,,,,,,,,,,,,,,,,
19,Alek Torgersen,00-0033238,Alek Torgersen,Alek,Alek,Torgersen,A.Torgersen,DEV,1995-01-13,Pennsylvania,74.0,229.0,2017.0,2017.0,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zsotiodmile3qzrycoeh"
20,Alex Brink,00-0026363,Alex Brink,,Alex,Brink,,RET,,,74.0,208.0,,,,,,
21,Alex Smith,00-0023436,Alex Smith,Alex,Alexander,Smith,A.Smith,ACT,1984-05-07,Utah,76.0,213.0,2005.0,2005.0,1.0,1.0,SF,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dpa5d1a8jj6jdymocjkx"
22,Alex Tanney,00-0029623,Alex Tanney,Alex,Alex,Tanney,A.Tanney,RES,1987-11-11,"Monmouth, Ill.",76.0,220.0,2012.0,2012.0,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/imvd4rxtknm0ob8oul5z"
23,Alex Van Pelt,00-0016838,Alex Van Pelt,,Alex,Van Pelt,,RET,1970-05-01,,73.0,220.0,1993.0,1993.0,216.0,,,
24,Alfred Montez,00-0011496,Alfred Montez,,Alfred,Montez,,RET,1972-10-18,,74.0,225.0,,,,,,
25,Andre Ware,00-0017178,Andre Ware,,Andre,Ware,,RET,1968-07-31,,74.0,205.0,,,,,,
26,Andre Woodson,00-0026338,Andre Woodson,,Andre,Woodson,,RET,,,76.0,230.0,,,,,,
27,Andrew Luck,00-0029668,Andrew Luck,Andrew,Andrew,Luck,A.Luck,CUT,1989-09-12,Stanford,76.0,240.0,2012.0,2012.0,1.0,1.0,IND,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ojix2ha2u58zqozaw756"
28,Andrew Peasley,00-0039334,Andrew Peasley,Andrew,Andrew,Peasley,A.Peasley,CUT,2000-01-06,Wyoming,74.0,218.0,2024.0,2024.0,,,,
29,Andrew Walter,00-0023504,Andrew Walter,,Andrew,Walter,,RET,1982-05-11,,78.0,230.0,2005.0,2005.0,69.0,,,
30,Andy Dalton,00-0027973,Andy Dalton,Andy,Andrew,Dalton,A.Dalton,ACT,1987-10-29,Texas Christian,74.0,220.0,2011.0,2011.0,35.0,2.0,CIN,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/az1zo7fl2tozg50tgs0d"
31,Andy Hall,00-0022761,Andy Hall,,Andy,Hall,,RET,1980-11-26,,73.0,218.0,,,,,,
32,Anthony Brown,00-0037175,Anthony Brown,Anthony,Anthony,Brown,A.Brown,DEV,1998-07-27,Oregon,75.0,226.0,2022.0,2022.0,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wsbie1tqhz6uwtf49tmj"
33,Anthony Dilweg,,,,,,,,,,,,,,,,,
34,Anthony Gordon,00-0035988,Anthony Gordon,Anthony,Anthony,Gordon,A.Gordon,DEV,1997-08-28,Washington State,75.0,210.0,2020.0,2020.0,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cyvleayi8iu7iq6adono"
35,Anthony Morelli,00-0025936,Anthony Morelli,,Anthony,Morelli,,RET,,,76.0,231.0,,,,,,
36,Anthony Richardson,00-0039164,Anthony Richardson,Anthony,Anthony,Richardson,A.Richardson,ACT,2002-05-22,Florida,76.0,232.0,2023.0,2023.0,4.0,1.0,IND,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/areyvihumylqo7y2ehk2"
37,Anthony Wright,00-0018272,Anthony Wright,,Anthony,Wright,,RET,1976-02-14,,73.0,211.0,,,,,,
38,Archie Manning,,,,,,,,,,,,,,,,,
39,Arnie Galiffa,,,,,,,,,,,,,,,,,
40,Art Schlichter,,,,,,,,,,,,,,,,,
